Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Government,Canada, Carretera , None ,1618.5,3.00,20.00,32370.00,0.00,32370.00,16185.00,16185.00,01/01/2014,1, January ,2014
Government,Germany, Carretera , None ,1321,3.00,20.00,26420.00,0.00,26420.00,13210.00,13210.00,01/01/2014,1, January ,2014
Midmarket,France, Carretera , None ,2178,3.00,15.00,32670.00,0.00,32670.00,21780.00,10890.00,01/06/2014,6, June ,2014
Midmarket,Germany, Carretera , None ,888,3.00,15.00,13320.00,0.00,13320.00,8880.00,4440.00,01/06/2014,6, June ,2014
Midmarket,Mexico, Carretera , None ,2470,3.00,15.00,37050.00,0.00,37050.00,24700.00,12350.00,01/06/2014,6, June ,2014
Government,Germany, Carretera , None ,1513,3.00,350.00,529550.00,0.00,529550.00,393380.00,136170.00,01/12/2014,12, December ,2014
Midmarket,Germany, Montana , None ,921,5.00,15.00,13815.00,0.00,13815.00,9210.00,4605.00,01/03/2014,3, March ,2014
Channel Partners,Canada, Montana , None ,2518,5.00,12.00,30216.00,0.00,30216.00,7554.00,22662.00,01/06/2014,6, June ,2014
Government,France, Montana , None ,1899,5.00,20.00,37980.00,0.00,37980.00,18990.00,18990.00,01/06/2014,6, June ,2014
Channel Partners,Germany, Montana , None ,1545,5.00,12.00,18540.00,0.00,18540.00,4635.00,13905.00,01/06/2014,6, June ,2014
Midmarket,Mexico, Montana , None ,2470,5.00,15.00,37050.00,0.00,37050.00,24700.00,12350.00,01/06/2014,6, June ,2014
Enterprise,Canada, Montana , None ,2665.5,5.00,125.00,333187.50,0.00,333187.50,319860.00,13327.50,01/07/2014,7, July ,2014
Small Business,Mexico, Montana , None ,958,5.00,300.00,287400.00,0.00,287400.00,239500.00,47900.00,01/08/2014,8, August ,2014
Government,Germany, Montana , None ,2146,5.00,7.00,15022.00,0.00,15022.00,10730.00,4292.00,01/09/2014,9, September ,2014
Enterprise,Canada, Montana , None ,345,5.00,125.00,43125.00,0.00,43125.00,41400.00,1725.00,01/10/2013,10, October ,2013
Midmarket,United States of America, Montana , None ,615,5.00,15.00,9225.00,0.00,9225.00,6150.00,3075.00,01/12/2014,12, December ,2014
Government,Canada, Paseo , None ,292,10.00,20.00,5840.00,0.00,5840.00,2920.00,2920.00,01/02/2014,2, February ,2014
Midmarket,Mexico, Paseo , None ,974,10.00,15.00,14610.00,0.00,14610.00,9740.00,4870.00,01/02/2014,2, February ,2014
Channel Partners,Canada, Paseo , None ,2518,10.00,12.00,30216.00,0.00,30216.00,7554.00,22662.00,01/06/2014,6, June ,2014
Government,Germany, Paseo , None ,1006,10.00,350.00,352100.00,0.00,352100.00,261560.00,90540.00,01/06/2014,6, June ,2014
Channel Partners,Germany, Paseo , None ,367,10.00,12.00,4404.00,0.00,4404.00,1101.00,3303.00,01/07/2014,7, July ,2014
Government,Mexico, Paseo , None ,883,10.00,7.00,6181.00,0.00,6181.00,4415.00,1766.00,01/08/2014,8, August ,2014
Midmarket,France, Paseo , None ,549,10.00,15.00,8235.00,0.00,8235.00,5490.00,2745.00,01/09/2013,9, September ,2013
Small Business,Mexico, Paseo , None ,788,10.00,300.00,236400.00,0.00,236400.00,197000.00,39400.00,01/09/2013,9, September ,2013
Midmarket,Mexico, Paseo , None ,2472,10.00,15.00,37080.00,0.00,37080.00,24720.00,12360.00,01/09/2014,9, September ,2014
Government,United States of America, Paseo , None ,1143,10.00,7.00,8001.00,0.00,8001.00,5715.00,2286.00,01/10/2014,10, October ,2014
Government,Canada, Paseo , None ,1725,10.00,350.00,603750.00,0.00,603750.00,448500.00,155250.00,01/11/2013,11, November ,2013
Channel Partners,United States of America, Paseo , None ,912,10.00,12.00,10944.00,0.00,10944.00,2736.00,8208.00,01/11/2013,11, November ,2013
Midmarket,Canada, Paseo , None ,2152,10.00,15.00,32280.00,0.00,32280.00,21520.00,10760.00,01/12/2013,12, December ,2013
Government,Canada, Paseo , None ,1817,10.00,20.00,36340.00,0.00,36340.00,18170.00,18170.00,01/12/2014,12, December ,2014
Government,Germany, Paseo , None ,1513,10.00,350.00,529550.00,0.00,529550.00,393380.00,136170.00,01/12/2014,12, December ,2014
Government,Mexico, Velo , None ,1493,120.00,7.00,10451.00,0.00,10451.00,7465.00,2986.00,01/01/2014,1, January ,2014
Enterprise,France, Velo , None ,1804,120.00,125.00,225500.00,0.00,225500.00,216480.00,9020.00,01/02/2014,2, February ,2014
Channel Partners,Germany, Velo , None ,2161,120.00,12.00,25932.00,0.00,25932.00,6483.00,19449.00,01/03/2014,3, March ,2014
Government,Germany, Velo , None ,1006,120.00,350.00,352100.00,0.00,352100.00,261560.00,90540.00,01/06/2014,6, June ,2014
Channel Partners,Germany, Velo , None ,1545,120.00,12.00,18540.00,0.00,18540.00,4635.00,13905.00,01/06/2014,6, June ,2014
Enterprise,United States of America, Velo , None ,2821,120.00,125.00,352625.00,0.00,352625.00,338520.00,14105.00,01/08/2014,8, August ,2014
Enterprise,Canada, Velo , None ,345,120.00,125.00,43125.00,0.00,43125.00,41400.00,1725.00,01/10/2013,10, October ,2013
Small Business,Canada, VTT , None ,2001,250.00,300.00,600300.00,0.00,600300.00,500250.00,100050.00,01/02/2014,2, February ,2014
Channel Partners,Germany, VTT , None ,2838,250.00,12.00,34056.00,0.00,34056.00,8514.00,25542.00,01/04/2014,4, April ,2014
Midmarket,France, VTT , None ,2178,250.00,15.00,32670.00,0.00,32670.00,21780.00,10890.00,01/06/2014,6, June ,2014
Midmarket,Germany, VTT , None ,888,250.00,15.00,13320.00,0.00,13320.00,8880.00,4440.00,01/06/2014,6, June ,2014
Government,France, VTT , None ,1527,250.00,350.00,534450.00,0.00,534450.00,397020.00,137430.00,01/09/2013,9, September ,2013
Small Business,France, VTT , None ,2151,250.00,300.00,645300.00,0.00,645300.00,537750.00,107550.00,01/09/2014,9, September ,2014
Government,Canada, VTT , None ,1817,250.00,20.00,36340.00,0.00,36340.00,18170.00,18170.00,01/12/2014,12, December ,2014
Government,France, Amarilla , None ,2750,260.00,350.00,962500.00,0.00,962500.00,715000.00,247500.00,01/02/2014,2, February ,2014
Channel Partners,United States of America, Amarilla , None ,1953,260.00,12.00,23436.00,0.00,23436.00,5859.00,17577.00,01/04/2014,4, April ,2014
Enterprise,Germany, Amarilla , None ,4219.5,260.00,125.00,527437.50,0.00,527437.50,506340.00,21097.50,01/04/2014,4, April ,2014
Government,France, Amarilla , None ,1899,260.00,20.00,37980.00,0.00,37980.00,18990.00,18990.00,01/06/2014,6, June ,2014
Government,Germany, Amarilla , None ,1686,260.00,7.00,11802.00,0.00,11802.00,8430.00,3372.00,01/07/2014,7, July ,2014
Channel Partners,United States of America, Amarilla , None ,2141,260.00,12.00,25692.00,0.00,25692.00,6423.00,19269.00,01/08/2014,8, August ,2014
Government,United States of America, Amarilla , None ,1143,260.00,7.00,8001.00,0.00,8001.00,5715.00,2286.00,01/10/2014,10, October ,2014
Midmarket,United States of America, Amarilla , None ,615,260.00,15.00,9225.00,0.00,9225.00,6150.00,3075.00,01/12/2014,12, December ,2014
Government,France, Paseo , Low ,3945,10.00,7.00,27615.00,276.15,27338.85,19725.00,7613.85,01/01/2014,1, January ,2014
Midmarket,France, Paseo , Low ,2296,10.00,15.00,34440.00,344.40,34095.60,22960.00,11135.60,01/02/2014,2, February ,2014
Government,France, Paseo , Low ,1030,10.00,7.00,7210.00,72.10,7137.90,5150.00,1987.90,01/05/2014,5, May ,2014
Government,France, Velo , Low ,639,120.00,7.00,4473.00,44.73,4428.27,3195.00,1233.27,01/11/2014,11, November ,2014
Government,Canada, VTT , Low ,1326,250.00,7.00,9282.00,92.82,9189.18,6630.00,2559.18,01/03/2014,3, March ,2014
Channel Partners,United States of America, Carretera , Low ,1858,3.00,12.00,22296.00,222.96,22073.04,5574.00,16499.04,01/02/2014,2, February ,2014
Government,Mexico, Carretera , Low ,1210,3.00,350.00,423500.00,4235.00,419265.00,314600.00,104665.00,01/03/2014,3, March ,2014
Government,United States of America, Carretera , Low ,2529,3.00,7.00,17703.00,177.03,17525.97,12645.00,4880.97,01/07/2014,7, July ,2014
Channel Partners,Canada, Carretera , Low ,1445,3.00,12.00,17340.00,173.40,17166.60,4335.00,12831.60,01/09/2014,9, September ,2014
Enterprise,United States of America, Carretera , Low ,330,3.00,125.00,41250.00,412.50,40837.50,39600.00,1237.50,01/09/2013,9, September ,2013
Channel Partners,France, Carretera , Low ,2671,3.00,12.00,32052.00,320.52,31731.48,8013.00,23718.48,01/09/2014,9, September ,2014
Channel Partners,Germany, Carretera , Low ,766,3.00,12.00,9192.00,91.92,9100.08,2298.00,6802.08,01/10/2013,10, October ,2013
Small Business,Mexico, Carretera , Low ,494,3.00,300.00,148200.00,1482.00,146718.00,123500.00,23218.00,01/10/2013,10, October ,2013
Government,Mexico, Carretera , Low ,1397,3.00,350.00,488950.00,4889.50,484060.50,363220.00,120840.50,01/10/2014,10, October ,2014
Government,France, Carretera , Low ,2155,3.00,350.00,754250.00,7542.50,746707.50,560300.00,186407.50,01/12/2014,12, December ,2014
Midmarket,Mexico, Montana , Low ,2214,5.00,15.00,33210.00,332.10,32877.90,22140.00,10737.90,01/03/2014,3, March ,2014
Small Business,United States of America, Montana , Low ,2301,5.00,300.00,690300.00,6903.00,683397.00,575250.00,108147.00,01/04/2014,4, April ,2014
Government,France, Montana , Low ,1375.5,5.00,20.00,27510.00,275.10,27234.90,13755.00,13479.90,01/07/2014,7, July ,2014
Government,Canada, Montana , Low ,1830,5.00,7.00,12810.00,128.10,12681.90,9150.00,3531.90,01/08/2014,8, August ,2014
Small Business,United States of America, Montana , Low ,2498,5.00,300.00,749400.00,7494.00,741906.00,624500.00,117406.00,01/09/2013,9, September ,2013
Enterprise,United States of America, Montana , Low ,663,5.00,125.00,82875.00,828.75,82046.25,79560.00,2486.25,01/10/2013,10, October ,2013
Midmarket,United States of America, Paseo , Low ,1514,10.00,15.00,22710.00,227.10,22482.90,15140.00,7342.90,01/02/2014,2, February ,2014
Government,United States of America, Paseo , Low ,4492.5,10.00,7.00,31447.50,314.48,31133.03,22462.50,8670.53,01/04/2014,4, April ,2014
Enterprise,United States of America, Paseo , Low ,727,10.00,125.00,90875.00,908.75,89966.25,87240.00,2726.25,01/06/2014,6, June ,2014
Enterprise,France, Paseo , Low ,787,10.00,125.00,98375.00,983.75,97391.25,94440.00,2951.25,01/06/2014,6, June ,2014
Enterprise,Mexico, Paseo , Low ,1823,10.00,125.00,227875.00,2278.75,225596.25,218760.00,6836.25,01/07/2014,7, July ,2014
Midmarket,Germany, Paseo , Low ,747,10.00,15.00,11205.00,112.05,11092.95,7470.00,3622.95,01/09/2014,9, September ,2014
Channel Partners,Germany, Paseo , Low ,766,10.00,12.00,9192.00,91.92,9100.08,2298.00,6802.08,01/10/2013,10, October ,2013
Small Business,United States of America, Paseo , Low ,2905,10.00,300.00,871500.00,8715.00,862785.00,726250.00,136535.00,01/11/2014,11, November ,2014
