Date,USD,EUR
2008-12-12,1.49385,1.128541
2008-12-13,1.49385,1.128541
2008-12-14,1.49385,1.128541
2008-12-15,1.49565,1.118661
2008-12-16,1.529695,1.115833
2008-12-17,1.526975,1.10964
2008-12-18,1.545015,1.075436
2008-12-19,1.5063,1.053946
2008-12-20,1.5063,1.053946
2008-12-21,1.5063,1.053946
2008-12-22,1.49555,1.073194
2008-12-23,1.4811,1.06077
2008-12-24,1.47145,1.055597
2008-12-25,1.474975,1.054156
2008-12-26,1.47405,1.052179
2008-12-27,1.47405,1.052179
2008-12-28,1.47405,1.052179
2008-12-29,1.46645,1.04229
2008-12-30,1.45975,1.024278
2008-12-31,1.44191,1.022008
2009-01-01,1.446605,1.039724
2009-01-02,1.459,1.043783
2009-01-03,1.459,1.043783
2009-01-04,1.459,1.043783
2009-01-05,1.45345,1.045309
2009-01-06,1.467805,1.081292
2009-01-07,1.49275,1.105045
2009-01-08,1.51395,1.110447
2009-01-09,1.5191,1.112364
2009-01-10,1.5191,1.112364
2009-01-11,1.5191,1.112364
2009-01-12,1.51465,1.125548
2009-01-13,1.4838,1.111078
2009-01-14,1.45565,1.105193
2009-01-15,1.46085,1.109226
2009-01-16,1.4604,1.11503
2009-01-17,1.4604,1.11503
2009-01-18,1.4604,1.11503
2009-01-19,1.4739,1.109071
2009-01-20,1.45212,1.10356
2009-01-21,1.39285,1.07998
2009-01-22,1.37635,1.068371
2009-01-23,1.37365,1.060652
2009-01-24,1.37365,1.060652
2009-01-25,1.37365,1.060652
2009-01-26,1.395889,1.061006
2009-01-27,1.4018,1.060764
2009-01-28,1.4169,1.076426
2009-01-29,1.42945,1.081524
2009-01-30,1.42855,1.103042
2009-01-31,1.42855,1.103042
2009-02-01,1.42855,1.103042
2009-02-02,1.44725,1.132877
2009-02-03,1.416285,1.106041
2009-02-04,1.4432,1.108789
2009-02-05,1.446775,1.125632
2009-02-06,1.464925,1.138602
2009-02-07,1.464925,1.138602
2009-02-08,1.464925,1.138602
2009-02-09,1.47895,1.141738
2009-02-10,1.490575,1.144962
2009-02-11,1.435996,1.114266
2009-02-12,1.424471,1.110188
2009-02-13,1.42615,1.10937
2009-02-14,1.42615,1.10937
2009-02-15,1.42615,1.10937
2009-02-16,1.426519,1.117202
2009-02-17,1.42615,1.117629
2009-02-18,1.4256,1.133813
2009-02-19,1.41925,1.132682
2009-02-20,1.43245,1.12898
2009-02-21,1.43245,1.12898
2009-02-22,1.43245,1.12898
2009-02-23,1.4437,1.124596
2009-02-24,1.4506,1.139513
2009-02-25,1.448485,1.127094
2009-02-26,1.42605,1.120272
2009-02-27,1.43075,1.122333
2009-02-28,1.43075,1.122333
2009-03-01,1.43075,1.122333
2009-03-02,1.427,1.125616
2009-03-03,1.3978,1.111177
2009-03-04,1.40755,1.118479
2009-03-05,1.4148,1.1221
2009-03-06,1.41265,1.125259
2009-03-07,1.41265,1.125259
2009-03-08,1.41265,1.125259
2009-03-09,1.4068,1.113283
2009-03-10,1.37685,1.091742
2009-03-11,1.37685,1.084817
2009-03-12,1.37871,1.079846
2009-03-13,1.391705,1.079569
2009-03-14,1.391705,1.079569
2009-03-15,1.391705,1.079569
2009-03-16,1.40249,1.087625
2009-03-17,1.40705,1.085394
2009-03-18,1.4035,1.079408
2009-03-19,1.4289,1.058994
2009-03-20,1.4474,1.061015
2009-03-21,1.4474,1.061015
2009-03-22,1.4474,1.061015
2009-03-23,1.45095,1.062306
2009-03-24,1.46315,1.071434
2009-03-25,1.46785,1.089435
2009-03-26,1.4595,1.074861
2009-03-27,1.4498,1.069095
2009-03-28,1.4498,1.069095
2009-03-29,1.4498,1.069095
2009-03-30,1.42115,1.073271
2009-03-31,1.42485,1.080463
2009-04-01,1.42995,1.078353
2009-04-02,1.4392,1.089354
2009-04-03,1.472585,1.093193
2009-04-04,1.472585,1.093193
2009-04-05,1.472585,1.093193
2009-04-06,1.4887,1.099442
2009-04-07,1.47465,1.100432
2009-04-08,1.475115,1.11191
2009-04-09,1.461265,1.112221
2009-04-10,1.461265,1.112221
2009-04-11,1.461265,1.112221
2009-04-12,1.461265,1.112221
2009-04-13,1.46575,1.110711
2009-04-14,1.490237,1.122461
2009-04-15,1.499019,1.137408
2009-04-16,1.4996,1.134042
2009-04-17,1.4996,1.134042
2009-04-18,1.4996,1.134042
2009-04-19,1.4996,1.134042
2009-04-20,1.480475,1.135334
2009-04-21,1.454,1.124921
2009-04-22,1.46988,1.13303
2009-04-23,1.4489,1.114157
2009-04-24,1.4489,1.114157
2009-04-25,1.4489,1.114157
2009-04-26,1.4489,1.114157
2009-04-27,1.46625,1.107565
2009-04-28,1.4636,1.123513
2009-04-29,1.4633,1.112945
2009-04-30,1.47701,1.114531
2009-05-01,1.478595,1.11765
2009-05-02,1.478595,1.11765
2009-05-03,1.478595,1.11765
